step,pp_loss,fsdp_loss,abs_delta
480,3.637068,3.613052,0.024016
481,4.030793,4.049396,0.018603
482,3.805747,3.745936,0.059811
483,3.820298,3.825138,0.004840
484,3.725921,3.702493,0.023428
485,3.744694,3.747225,0.002530
486,3.897090,3.860214,0.036876
487,4.116262,4.140566,0.024303
488,3.879624,3.873073,0.006551
489,3.985144,3.948552,0.036592
490,3.740649,3.747339,0.006690
491,3.433244,3.425271,0.007974
492,3.883374,3.909928,0.026554
493,3.732702,3.729852,0.002850
494,4.180246,4.142916,0.037330
495,4.181048,4.162332,0.018717
496,3.691597,3.703464,0.011867
497,3.254790,3.234430,0.020360
498,4.308297,4.276640,0.031657
499,3.850880,3.836244,0.014636
500,3.825840,3.821154,0.004686
