act per layer per 8K micro-batch (report recipe, estimate): 1.63 GiB
params: experts 92 x 29.6 B + MTP 30.2 B

=== H100: HBM 74.5 GiB, NVLink domain 8, IB 50 GB/s per GPU
TP candidates (divide 96 heads, inside one NVLink domain, at most 8): [1, 2, 3, 4, 6, 8]
| PP x VP | EP | TP | stages | layers/stage | static GiB (rank) | layer x mb in flight (M) | acts no offload GiB | AttnRes+hidden (lower bound) GiB | headroom for acts GiB | acts that must leave HBM | EP IB ms / layer fwd ms |
| 2 x 6 | 16 | 8 | 12 | 7.8 | 190 (r1) | 101 (16) | 21 | 2.9 | 75 | 0% | 0 / 2 |
| 2 x 6 | 32 | 8 | 12 | 7.8 | 104 (r1) | 101 (16) | 21 | 2.9 | 161 | 0% | 0 / 2 |
| 2 x 6 | 64 | 8 | 12 | 7.8 | 61 (r1) | 101 (16) | 21 | 2.9 | 205 | 0% | 0 / 2 |
| 2 x 8 | 16 | 1 | 16 | 5.8 | 239 (r1) | 99 (16) | 162 | 29.9 | -0 | 100% | 0 / 17 |
| 2 x 8 | 32 | 1 | 16 | 5.8 | 153 (r1) | 99 (16) | 162 | 29.9 | 86 | 47% | 0 / 17 |
| 2 x 8 | 64 | 1 | 16 | 5.8 | 110 (r1) | 99 (16) | 162 | 29.9 | 129 | 20% | 0 / 17 |
| 2 x 8 | 16 | 2 | 16 | 5.8 | 211 (r1) | 99 (16) | 81 | 14.9 | 42 | 48% | 0 / 9 |
| 2 x 8 | 32 | 2 | 16 | 5.8 | 125 (r1) | 99 (16) | 81 | 14.9 | 128 | 0% | 0 / 9 |
| 2 x 8 | 64 | 2 | 16 | 5.8 | 82 (r1) | 99 (16) | 81 | 14.9 | 171 | 0% | 0 / 9 |
| 2 x 8 | 16 | 8 | 16 | 5.8 | 190 (r1) | 99 (16) | 20 | 3.7 | 74 | 0% | 0 / 2 |
| 2 x 8 | 32 | 8 | 16 | 5.8 | 104 (r1) | 99 (16) | 20 | 3.7 | 160 | 0% | 0 / 2 |
| 2 x 8 | 64 | 8 | 16 | 5.8 | 61 (r1) | 99 (16) | 20 | 3.7 | 203 | 0% | 0 / 2 |
| 4 x 2 | 8 | 1 | 8 | 11.6 | 224 (r1) | 125 (16) | 204 | 12.4 | 31 | 85% | 0 / 17 |
| 4 x 2 | 16 | 1 | 8 | 11.6 | 131 (r1) | 125 (16) | 204 | 12.4 | 124 | 39% | 0 / 17 |
| 4 x 2 | 32 | 1 | 8 | 11.6 | 85 (r1) | 125 (16) | 204 | 12.4 | 171 | 16% | 0 / 17 |
| 4 x 2 | 64 | 1 | 8 | 11.6 | 63 (r0) | 125 (16) | 204 | 12.4 | 193 | 5% | 0 / 17 |
| 4 x 2 | 8 | 2 | 8 | 11.6 | 211 (r1) | 125 (16) | 102 | 6.2 | 51 | 50% | 0 / 9 |
| 4 x 2 | 16 | 2 | 8 | 11.6 | 118 (r1) | 125 (16) | 102 | 6.2 | 144 | 0% | 0 / 9 |
| 4 x 2 | 32 | 2 | 8 | 11.6 | 71 (r1) | 125 (16) | 102 | 6.2 | 191 | 0% | 0 / 9 |
| 4 x 2 | 64 | 2 | 8 | 11.6 | 48 (r1) | 125 (16) | 102 | 6.2 | 214 | 0% | 0 / 9 |
| 4 x 2 | 8 | 8 | 8 | 11.6 | 201 (r1) | 125 (16) | 26 | 1.5 | 66 | 0% | 0 / 2 |
| 4 x 2 | 16 | 8 | 8 | 11.6 | 108 (r1) | 125 (16) | 26 | 1.5 | 159 | 0% | 0 / 2 |
| 4 x 2 | 32 | 8 | 8 | 11.6 | 61 (r1) | 125 (16) | 26 | 1.5 | 206 | 0% | 0 / 2 |
